iter	Passed	Remaining
243	996	4720
244	1000	4715
245	1004	4711
246	1008	4706
247	1012	4701
248	1016	4696
249	1020	4694
250	1024	4689
251	1028	4685
252	1032	4679
253	1036	4676
254	1040	4671
255	1044	4665
256	1047	4660
257	1051	4656
258	1055	4651
259	1059	4646
260	1063	4640
261	1067	4637
262	1071	4633
263	1075	4627
264	1079	4622
265	1083	4618
266	1087	4614
267	1091	4609
268	1095	4604
269	1099	4601
270	1104	4599
271	1108	4598
272	1113	4596
273	1117	4594
274	1122	4591
275	1126	4588
276	1131	4586
277	1136	4585
278	1141	4585
279	1146	4584
280	1152	4587
281	1158	4591
282	1162	4590
283	1167	4587
284	1172	4587
285	1177	4584
286	1181	4583
287	1186	4579
288	1190	4574
289	1193	4570
290	1200	4575
291	1205	4575
292	1210	4573
293	1216	4575
294	1221	4575
295	1227	4576
296	1232	4576
297	1239	4582
298	1244	4581
299	1248	4579
300	1253	4574
301	1257	4570
302	1262	4572
303	1266	4567
304	1272	4569
305	1278	4572
306	1283	4569
307	1287	4565
308	1292	4562
309	1296	4558
310	1300	4553
311	1304	4549
312	1308	4544
313	1313	4541
314	1317	4538
315	1321	4533
316	1325	4528
317	1329	4523
318	1333	4518
319	1337	4513
320	1341	4508
321	1345	4504
322	1349	4499
323	1353	4494
324	1357	4489
325	1361	4484
326	1365	4479
327	1368	4474
328	1373	4469
329	1377	4465
330	1381	4460
331	1385	4455
332	1389	4451
333	1393	4448
334	1397	4442
335	1401	4438
336	1405	4433
337	1409	4429
338	1414	4426
339	1418	4420
340	1421	4415
341	1426	4411
342	1430	4407
343	1434	4402
344	1437	4396
345	1442	4392
346	1446	4388
347	1450	4383
348	1454	4378
349	1458	4374
350	1462	4370
351	1466	4365
352	1470	4361
353	1474	4358
354	1478	4353
355	1482	4348
356	1486	4343
357	1491	4340
358	1495	4335
359	1498	4330
360	1503	4326
361	1507	4322
362	1511	4317
363	1515	4313
364	1519	4308
365	1523	4304
366	1527	4299
367	1531	4295
368	1535	4290
369	1540	4287
370	1544	4283
371	1548	4278
372	1552	4274
373	1556	4269
374	1560	4265
375	1564	4260
376	1568	4255
377	1572	4251
378	1576	4246
379	1580	4242
380	1584	4237
381	1588	4233
382	1592	4228
383	1596	4224
384	1600	4220
385	1605	4216
386	1608	4211
387	1612	4206
388	1616	4201
389	1620	4197
390	1624	4192
391	1628	4187
392	1632	4182
393	1636	4178
394	1640	4173
395	1644	4168
396	1648	4163
397	1651	4159
398	1655	4154
399	1659	4149
400	1663	4144
401	1667	4140
402	1671	4135
403	1675	4130
404	1679	4126
405	1683	4121
406	1687	4116
407	1691	4113
408	1695	4108
409	1699	4103
410	1703	4098
411	1707	4094
412	1711	4089
413	1715	4084
414	1718	4079
415	1723	4076
416	1728	4074
417	1732	4069
418	1735	4064
419	1739	4059
420	1743	4055
421	1747	4050
422	1752	4046
423	1756	4042
424	1759	4037
425	1763	4032
426	1767	4028
427	1771	4023
428	1775	4018
429	1779	4014
430	1783	4009
431	1787	4005
432	1791	4000
433	1795	3995
434	1799	3991
435	1803	3986
436	1806	3981
437	1810	3977
438	1814	3972
439	1818	3968
440	1822	3963
441	1826	3959
442	1830	3954
443	1834	3950
444	1838	3944
445	1842	3940
446	1846	3936
447	1850	3931
448	1854	3928
449	1858	3924
450	1862	3919
451	1866	3915
452	1870	3910
453	1874	3906
454	1878	3901
455	1882	3897
456	1886	3892
457	1890	3889
458	1895	3885
459	1899	3881
460	1903	3877
461	1907	3873
462	1912	3870
463	1916	3866
464	1920	3862
465	1925	3858
466	1929	3855
467	1933	3851
468	1938	3847
469	1942	3843
470	1947	3840
471	1951	3837
472	1955	3832
473	1959	3828
474	1964	3824
475	1968	3820
476	1972	3816
477	1976	3812
478	1981	3809
479	1985	3805
480	1989	3800
481	1994	3798
482	1998	3794
483	2002	3789
484	2006	3785
485	2011	3782
486	2015	3778
487	2019	3774
488	2023	3769
489	2028	3766
490	2032	3762
491	2036	3758
492	2041	3755
493	2045	3751
494	2049	3747
495	2053	3743
496	2058	3740
497	2062	3736
498	2066	3731
499	2070	3727
500	2076	3726
501	2082	3724
502	2087	3722
503	2092	3720
504	2097	3716
505	2101	3712
506	2105	3708
507	2110	3706
508	2114	3701
509	2119	3697
510	2123	3694
511	2127	3690
512	2131	3686
513	2135	3681
514	2141	3679
515	2145	3675
516	2149	3671
517	2155	3669
518	2159	3665
519	2163	3661
520	2167	3657
521	2172	3654
522	2176	3649
523	2180	3645
524	2184	3641
525	2189	3638
526	2193	3633
527	2197	3629
528	2201	3625
529	2206	3621
530	2210	3617
531	2214	3613
532	2218	3609
533	2223	3605
534	2227	3601
535	2231	3596
536	2235	3592
537	2239	3588
538	2243	3584
539	2247	3579
540	2252	3575
541	2256	3572
542	2260	3567
543	2264	3563
544	2269	3560
545	2273	3556
546	2278	3552
547	2282	3548
548	2287	3545
549	2291	3540
550	2294	3536
551	2298	3531
552	2303	3528
553	2307	3524
554	2311	3519
555	2316	3515
556	2320	3512
557	2324	3508
558	2329	3504
559	2333	3500
560	2338	3496
561	2342	3492
562	2345	3487
563	2350	3483
564	2354	3479
565	2358	3475
566	2362	3471
567	2366	3467
568	2371	3463
569	2375	3458
570	2379	3453
571	2383	3449
572	2387	3445
573	2390	3440
574	2395	3436
575	2399	3432
576	2403	3427
577	2406	3422
578	2411	3418
579	2415	3414
580	2419	3410
581	2423	3405
582	2427	3401
583	2431	3397
584	2436	3393
585	2440	3389
586	2444	3385
587	2448	3380
588	2452	3376
589	2456	3371
590	2459	3367
591	2464	3363
592	2468	3359
593	2472	3355
594	2476	3350
595	2480	3346
596	2485	3342
597	2489	3338
598	2493	3334
599	2497	3330
600	2501	3326
601	2506	3322
602	2510	3317
603	2514	3313
604	2518	3309
605	2522	3305
606	2526	3301
607	2531	3297
608	2535	3293
609	2539	3289
610	2543	3284
611	2548	3281
612	2552	3276
613	2556	3272
614	2560	3268
615	2564	3263
616	2568	3259
617	2572	3255
618	2577	3251
619	2581	3247
620	2585	3243
621	2589	3238
622	2593	3234
623	2597	3230
624	2601	3225
625	2605	3221
626	2609	3217
627	2613	3212
628	2617	3208
629	2621	3203
630	2625	3199
631	2629	3194
632	2633	3190
633	2636	3185
634	2641	3181
635	2645	3177
636	2649	3173
637	2653	3168
638	2657	3164
639	2661	3160
640	2665	3156
641	2669	3152
642	2674	3148
643	2678	3144
644	2682	3139
645	2686	3135
646	2690	3131
647	2694	3126
648	2698	3122
649	2702	3117
650	2706	3113
651	2710	3109
652	2714	3105
653	2718	3100
654	2721	3095
655	2726	3091
656	2729	3087
657	2733	3082
658	2737	3078
659	2742	3074
660	2746	3070
661	2750	3065
662	2754	3061
663	2758	3057
664	2761	3052
665	2765	3048
666	2769	3043
667	2773	3039
668	2777	3035
669	2781	3030
670	2785	3025
671	2789	3021
672	2793	3017
673	2796	3012
674	2800	3008
675	2804	3003
676	2808	2999
677	2812	2994
678	2815	2990
679	2819	2985
680	2823	2981
681	2827	2976
682	2831	2972
683	2835	2967
684	2839	2963
685	2843	2959
686	2846	2954
687	2850	2949
688	2854	2945
689	2857	2940
690	2861	2936
691	2865	2931
692	2869	2926
693	2872	2922
694	2876	2917
695	2880	2913
696	2884	2909
697	2888	2904
698	2892	2900
699	2895	2895
700	2899	2891
701	2903	2886
702	2907	2882
703	2910	2877
704	2914	2873
705	2918	2868
706	2922	2864
707	2926	2859
708	2929	2855
709	2933	2850
710	2937	2846
711	2941	2841
712	2944	2837
713	2948	2833
714	2952	2828
715	2956	2824
716	2960	2819
717	2964	2815
718	2968	2811
719	2971	2806
720	2975	2802
721	2979	2798
722	2983	2793
723	2987	2789
724	2991	2785
725	2995	2781
726	2999	2776
727	3003	2772
728	3007	2768
729	3011	2763
730	3015	2759
731	3018	2754
732	3022	2750
733	3026	2746
734	3030	2741
735	3034	2737
736	3038	2733
737	3042	2728
738	3045	2724
739	3050	2720
740	3055	2717
741	3059	2713
742	3064	2709
743	3068	2705
744	3073	2702
745	3077	2698
746	3081	2693
747	3084	2689
748	3089	2684
749	3092	2680
750	3096	2676
751	3100	2671
752	3104	2667
753	3107	2662
754	3111	2658
755	3115	2653
756	3119	2649
757	3123	2645
758	3126	2640
759	3130	2636
760	3134	2631
761	3137	2627
762	3141	2622
763	3145	2618
764	3149	2614
765	3153	2609
766	3156	2605
767	3160	2600
768	3164	2596
769	3168	2592
770	3172	2587
771	3175	2583
772	3179	2579
773	3183	2574
774	3187	2570
775	3191	2566
776	3194	2561
777	3198	2557
778	3202	2553
779	3206	2548
780	3210	2544
781	3213	2539
782	3217	2535
783	3221	2531
784	3225	2526
785	3228	2522
786	3232	2517
787	3236	2513
788	3240	2509
789	3243	2504
790	3247	2500
791	3251	2495
792	3255	2491
793	3259	2487
794	3262	2482
795	3266	2478
796	3270	2474
797	3274	2470
798	3278	2466
799	3282	2462
800	3288	2459
801	3294	2456
802	3298	2452
803	3302	2448
804	3306	2444
805	3310	2439
806	3314	2435
807	3318	2431
808	3322	2427
809	3326	2423
810	3330	2419
811	3334	2414
812	3338	2410
813	3342	2405
814	3346	2401
815	3350	2397
816	3353	2393
817	3357	2388
818	3361	2384
819	3364	2380
820	3368	2375
821	3372	2371
822	3376	2367
823	3380	2362
824	3384	2358
825	3388	2354
826	3391	2350
827	3396	2346
828	3401	2342
829	3405	2338
830	3410	2335
831	3414	2331
832	3418	2327
833	3423	2323
834	3428	2319
835	3433	2316
836	3437	2312
837	3442	2308
838	3446	2304
839	3450	2300
840	3454	2296
841	3458	2292
842	3462	2287
843	3466	2283
844	3470	2279
845	3474	2275
846	3478	2270
847	3481	2266
848	3485	2262
849	3489	2258
850	3493	2254
851	3497	2249
852	3502	2246
853	3506	2241
854	3510	2237
855	3513	2233
856	3517	2228
857	3522	2225
858	3526	2221
859	3530	2216
860	3534	2212
861	3538	2208
862	3542	2204
863	3545	2199
864	3549	2195
865	3553	2191
866	3557	2186
867	3561	2182
868	3564	2178
869	3569	2174
870	3572	2169
871	3576	2165
872	3580	2161
873	3584	2157
874	3588	2152
875	3591	2148
876	3595	2144
877	3599	2140
878	3603	2135
879	3607	2131
880	3611	2127
881	3614	2122
882	3618	2118
883	3622	2114
884	3626	2110
885	3629	2105
886	3634	2101
887	3638	2097
888	3642	2093
889	3645	2089
890	3650	2085
891	3655	2081
892	3658	2077
893	3662	2073
894	3666	2069
895	3670	2064
896	3674	2060
897	3678	2056
898	3682	2052
899	3686	2048
900	3690	2043
901	3694	2039
902	3698	2035
903	3702	2031
904	3705	2026
905	3709	2022
906	3713	2018
907	3717	2014
908	3721	2010
909	3725	2005
910	3728	2001
911	3732	1997
912	3736	1993
913	3740	1988
914	3744	1984
915	3748	1980
916	3752	1976
917	3756	1972
918	3759	1967
919	3763	1963
920	3767	1959
921	3771	1955
922	3775	1950
923	3779	1946
924	3782	1942
925	3786	1938
926	3790	1934
927	3794	1929
928	3797	1925
929	3801	1921
930	3805	1916
931	3808	1912
932	3812	1908
933	3816	1904
934	3820	1899
935	3823	1895
936	3827	1891
937	3831	1887
938	3835	1882
939	3839	1878
940	3843	1874
941	3846	1870
942	3850	1866
943	3854	1862
944	3859	1858
945	3863	1854
946	3867	1849
947	3871	1845
948	3875	1841
949	3879	1837
950	3883	1833
951	3888	1829
952	3893	1826
953	3897	1822
954	3902	1818
955	3905	1814
956	3911	1810
957	3914	1806
958	3919	1802
959	3923	1798
960	3927	1794
961	3932	1790
962	3935	1785
963	3939	1781
964	3944	1778
965	3948	1773
966	3951	1769
967	3955	1765
968	3960	1761
969	3964	1757
970	3968	1753
971	3972	1749
972	3976	1745
973	3980	1740
974	3984	1736
975	3988	1732
976	3993	1728
977	3997	1724
978	4001	1720
979	4005	1716
980	4009	1712
981	4013	1708
982	4017	1704
983	4022	1700
984	4027	1696
985	4031	1692
986	4036	1689
987	4041	1685
988	4045	1681
989	4049	1677
990	4054	1673
991	4058	1669
992	4062	1665
993	4066	1660
994	4070	1656
995	4074	1652
996	4078	1648
997	4081	1644
998	4085	1639
999	4090	1636
1000	4094	1632
1001	4098	1628
1002	4103	1624
1003	4106	1619
1004	4110	1615
1005	4114	1611
1006	4119	1607
1007	4123	1603
1008	4126	1599
1009	4130	1595
1010	4134	1590
1011	4138	1586
1012	4142	1582
1013	4146	1578
1014	4151	1574
1015	4155	1570
1016	4159	1566
1017	4163	1562
1018	4167	1558
1019	4171	1554
1020	4175	1549
1021	4179	1545
1022	4183	1541
1023	4188	1537
1024	4191	1533
1025	4196	1529
1026	4200	1525
1027	4203	1521
1028	4207	1517
1029	4211	1512
1030	4215	1508
1031	4219	1504
1032	4223	1500
1033	4226	1496
1034	4230	1492
1035	4249	1493
1036	4253	1488
1037	4257	1484
1038	4261	1480
1039	4265	1476
1040	4269	1472
1041	4273	1468
1042	4277	1464
1043	4281	1460
1044	4286	1456
1045	4290	1452
1046	4294	1447
1047	4298	1443
1048	4302	1439
1049	4306	1435
1050	4310	1431
1051	4314	1427
1052	4318	1423
1053	4322	1419
1054	4326	1414
1055	4330	1410
1056	4334	1406
1057	4339	1402
1058	4343	1398
1059	4347	1394
1060	4351	1390
1061	4355	1386
1062	4359	1382
1063	4364	1378
1064	4368	1374
1065	4372	1369
1066	4376	1365
1067	4381	1361
1068	4385	1357
1069	4388	1353
1070	4392	1349
1071	4397	1345
1072	4401	1341
1073	4405	1337
1074	4409	1333
1075	4413	1329
1076	4417	1324
1077	4421	1320
1078	4425	1316
1079	4430	1312
1080	4434	1308
1081	4438	1304
1082	4441	1300
1083	4446	1296
1084	4450	1291
1085	4454	1287
1086	4458	1283
1087	4462	1279
1088	4466	1275
1089	4469	1271
1090	4473	1266
1091	4477	1262
1092	4480	1258
1093	4484	1254
1094	4488	1250
1095	4492	1246
1096	4496	1241
1097	4500	1237
1098	4503	1233
1099	4507	1229
1100	4511	1225
1101	4515	1221
1102	4518	1216
1103	4522	1212
1104	4526	1208
1105	4530	1204
1106	4534	1200
1107	4537	1195
1108	4541	1191
1109	4546	1187
1110	4549	1183
1111	4553	1179
1112	4558	1175
1113	4561	1171
1114	4566	1167
1115	4570	1162
1116	4573	1158
1117	4577	1154
1118	4581	1150
1119	4585	1146
1120	4590	1142
1121	4594	1138
1122	4599	1134
1123	4603	1130
1124	4607	1126
1125	4612	1122
1126	4616	1118
1127	4621	1114
1128	4625	1110
1129	4629	1106
1130	4633	1102
1131	4637	1097
1132	4641	1093
1133	4646	1089
1134	4650	1085
1135	4654	1081
1136	4658	1077
1137	4662	1073
1138	4667	1069
1139	4671	1065
1140	4675	1061
1141	4678	1057
1142	4682	1052
1143	4686	1048
1144	4690	1044
1145	4694	1040
1146	4698	1036
1147	4702	1032
1148	4706	1028
1149	4710	1024
1150	4714	1019
1151	4718	1015
1152	4722	1011
1153	4726	1007
1154	4730	1003
1155	4734	999
1156	4738	995
1157	4742	991
1158	4747	987
1159	4751	982
1160	4755	978
1161	4759	974
1162	4763	970
1163	4767	966
1164	4771	962
1165	4775	958
1166	4779	954
1167	4783	950
1168	4787	945
1169	4790	941
1170	4794	937
1171	4798	933
1172	4802	929
1173	4806	925
1174	4810	921
1175	4814	917
1176	4818	912
1177	4822	908
1178	4826	904
1179	4829	900
1180	4834	896
1181	4837	892
1182	4841	888
1183	4846	884
1184	4849	879
1185	4854	875
1186	4857	871
1187	4861	867
1188	4865	863
1189	4869	859
1190	4873	855
1191	4877	851
1192	4881	847
1193	4885	842
1194	4889	838
1195	4893	834
1196	4897	830
1197	4901	826
1198	4905	822
1199	4909	818
1200	4913	814
1201	4916	809
1202	4920	805
1203	4924	801
1204	4927	797
1205	4931	793
1206	4935	789
1207	4939	785
1208	4942	780
1209	4947	776
1210	4950	772
1211	4954	768
1212	4958	764
1213	4961	760
1214	4966	756
1215	4970	752
1216	4974	747
1217	4977	743
1218	4982	739
1219	4986	735
1220	4989	731
1221	4993	727
1222	4999	723
1223	5004	719
1224	5008	715
1225	5013	711
1226	5018	707
1227	5022	703
1228	5026	699
1229	5030	695
1230	5035	691
1231	5038	687
1232	5042	682
1233	5047	678
1234	5051	674
1235	5054	670
1236	5058	666
1237	5063	662
1238	5066	658
1239	5070	654
1240	5074	650
1241	5078	646
1242	5082	641
1243	5086	637
1244	5090	633
1245	5094	629
1246	5098	625
1247	5102	621
1248	5106	617
1249	5110	613
1250	5114	609
1251	5118	605
1252	5122	600
1253	5126	596
1254	5130	592
1255	5134	588
1256	5138	584
1257	5142	580
1258	5146	576
1259	5150	572
1260	5154	568
1261	5158	564
1262	5162	559
1263	5166	555
1264	5170	551
1265	5174	547
1266	5178	543
1267	5182	539
1268	5185	535
1269	5189	531
1270	5194	527
1271	5197	523
1272	5201	518
1273	5205	514
1274	5209	510
1275	5213	506
1276	5217	502
1277	5221	498
1278	5225	494
1279	5229	490
1280	5232	486
1281	5236	482
1282	5240	477
1283	5244	473
1284	5248	469
1285	5251	465
1286	5255	461
1287	5259	457
1288	5263	453
1289	5267	449
1290	5271	445
1291	5275	440
1292	5278	436
1293	5282	432
1294	5287	428
1295	5291	424
1296	5294	420
1297	5298	416
1298	5302	412
1299	5306	408
1300	5310	404
1301	5313	399
1302	5317	395
1303	5321	391
1304	5324	387
1305	5328	383
1306	5332	379
1307	5336	375
1308	5339	371
1309	5343	367
1310	5347	363
1311	5351	358
1312	5355	354
1313	5359	350
1314	5363	346
1315	5366	342
1316	5370	338
1317	5374	334
1318	5377	330
1319	5381	326
1320	5385	322
1321	5388	317
1322	5392	313
1323	5396	309
1324	5399	305
1325	5403	301
1326	5407	297
1327	5411	293
1328	5415	289
1329	5418	285
1330	5422	281
1331	5426	277
1332	5429	272
1333	5433	268
1334	5437	264
1335	5440	260
1336	5444	256
1337	5448	252
1338	5452	248
1339	5455	244
1340	5459	240
1341	5463	236
1342	5466	232
1343	5470	227
1344	5473	223
1345	5477	219
1346	5481	215
1347	5485	211
1348	5488	207
1349	5492	203
1350	5495	199
1351	5499	195
1352	5503	191
1353	5507	187
1354	5510	183
1355	5514	178
1356	5518	174
1357	5521	170
1358	5525	166
1359	5529	162
1360	5533	158
1361	5536	154
1362	5540	150
1363	5544	146
1364	5548	142
1365	5551	138
1366	5555	134
1367	5559	130
1368	5563	125
1369	5566	121
1370	5570	117
1371	5574	113
1372	5577	109
1373	5581	105
1374	5585	101
1375	5588	97
1376	5592	93
1377	5596	89
1378	5599	85
1379	5603	81
1380	5607	77
1381	5611	73
1382	5614	69
1383	5618	64
1384	5622	60
1385	5626	56
1386	5629	52
1387	5633	48
1388	5636	44
1389	5640	40
1390	5644	36
1391	5647	32
1392	5651	28
1393	5655	24
1394	5658	20
1395	5662	16
1396	5665	12
1397	5669	8
1398	5673	4
1399	5676	0
